Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
24.0,Austin Reaves,27.0,LAL,SG,49.0,43.0,34.7,7.4,15.0,0.491,2.3,6.4,0.361,5.1,8.6,0.589,0.569,6.4,7.4,0.868,0.7,4.0,4.7,5.6,1.1,0.4,2.9,2.2,23.5,
25.0,Jalen Johnson,24.0,ATL,SF,67.0,67.0,35.4,8.5,17.2,0.493,1.7,4.8,0.354,6.8,12.4,0.547,0.543,4.2,5.4,0.787,1.4,8.8,10.2,8.1,1.3,0.4,3.4,2.0,22.9,AS
26.0,Paolo Banchero,23.0,ORL,PF,64.0,64.0,35.0,7.5,16.3,0.459,1.2,4.0,0.31,6.3,12.4,0.507,0.497,6.4,8.2,0.782,1.2,7.1,8.3,5.1,0.7,0.6,3.0,1.9,22.6,
27.0,Norman Powell,32.0,MIA,SG,55.0,52.0,30.1,7.4,15.7,0.473,2.7,7.1,0.384,4.7,8.5,0.547,0.56,4.5,5.5,0.825,0.4,3.2,3.6,2.6,1.1,0.3,1.9,2.3,22.1,AS
28.0,Trey Murphy III,25.0,NOP,SF,64.0,64.0,35.5,7.5,16.0,0.471,3.3,8.7,0.383,4.2,7.3,0.574,0.574,3.3,3.8,0.883,1.0,4.7,5.7,3.8,1.5,0.3,1.8,2.1,21.7,
29.0,Tyler Herro,26.0,MIA,SG,29.0,24.0,31.4,7.9,16.2,0.486,2.6,6.8,0.381,5.3,9.4,0.562,0.566,3.2,3.4,0.92,0.5,4.2,4.7,3.8,0.8,0.4,1.9,1.7,21.6,
30.0,Brandon Ingram,28.0,TOR,SF,70.0,70.0,34.0,8.0,16.9,0.471,1.8,4.7,0.378,6.2,12.2,0.506,0.523,3.7,4.5,0.817,0.8,4.8,5.6,3.7,0.8,0.7,2.5,1.9,21.4,AS
31.0,Shaedon Sharpe,22.0,POR,SG,48.0,42.0,30.0,8.0,17.6,0.456,2.1,6.2,0.34,5.9,11.5,0.518,0.515,3.2,4.0,0.784,1.0,3.4,4.4,2.6,1.4,0.1,3.0,2.0,21.4,
32.0,Franz Wagner,24.0,ORL,SF,28.0,26.0,31.8,7.3,15.3,0.479,1.5,4.1,0.365,5.8,11.2,0.521,0.528,5.1,6.2,0.828,1.5,4.3,5.8,3.6,1.1,0.3,1.7,2.3,21.3,
33.0,Zion Williamson,25.0,NOP,PF,59.0,52.0,29.7,8.0,13.2,0.604,0.0,0.1,0.25,7.9,13.1,0.606,0.605,5.4,7.5,0.712,2.1,3.7,5.7,3.2,1.0,0.5,2.0,2.3,21.3,
34.0,Julius Randle,31.0,MIN,PF,75.0,75.0,33.1,7.3,15.3,0.477,1.4,4.4,0.312,5.9,10.9,0.543,0.522,5.0,6.2,0.809,1.7,5.1,6.8,5.1,1.1,0.2,2.7,2.9,21.0,
35.0,Dillon Brooks,30.0,PHO,SF,50.0,50.0,30.6,7.7,17.4,0.44,2.3,6.8,0.343,5.3,10.6,0.502,0.507,3.2,3.8,0.856,0.8,2.9,3.7,1.8,1.0,0.2,1.8,3.3,20.9,
36.0,LeBron James,41.0,LAL,SF,54.0,54.0,33.6,7.9,15.4,0.512,1.3,4.1,0.314,6.6,11.4,0.583,0.553,3.8,5.1,0.742,0.8,5.2,6.0,7.0,1.1,0.6,3.0,1.4,20.9,AS
37.0,Jayson Tatum,27.0,BOS,PF,11.0,11.0,31.0,7.2,18.0,0.399,2.9,9.0,0.323,4.3,9.0,0.475,0.48,3.6,4.4,0.833,0.6,8.5,9.1,4.2,1.1,0.2,2.0,1.5,20.9,
38.0,Alperen Şengün,23.0,HOU,C,65.0,65.0,33.6,8.2,15.9,0.516,0.6,1.8,0.305,7.6,14.1,0.544,0.534,3.7,5.4,0.687,3.0,6.0,9.0,6.2,1.2,1.1,3.2,3.2,20.7,AS
39.0,Nickeil Alexander-Walker,27.0,ATL,SG,73.0,66.0,33.2,6.8,15.2,0.45,3.1,8.0,0.391,3.7,7.2,0.514,0.552,3.6,4.0,0.901,0.7,2.8,3.5,3.8,1.3,0.5,2.0,2.2,20.4,
40.0,Anthony Davis,32.0,DAL,PF,20.0,20.0,31.3,8.5,16.7,0.506,0.5,1.9,0.27,8.0,14.9,0.535,0.521,3.0,4.1,0.728,3.1,8.0,11.1,2.8,1.1,1.7,2.1,2.1,20.4,
41.0,Desmond Bane,27.0,ORL,SG,74.0,74.0,34.1,7.2,14.9,0.486,2.0,5.2,0.39,5.2,9.7,0.538,0.555,3.8,4.1,0.925,1.2,2.9,4.1,4.2,1.0,0.4,2.0,3.1,20.3,
42.0,Cooper Flagg,19.0,DAL,SF,63.0,63.0,33.8,7.8,16.5,0.47,1.0,3.4,0.282,6.8,13.2,0.519,0.499,3.8,4.7,0.81,1.2,5.3,6.5,4.6,1.2,0.9,2.4,2.1,20.3,
43.0,Brandon Miller,23.0,CHO,SF,58.0,58.0,30.2,7.0,16.2,0.433,3.2,8.2,0.389,3.8,7.9,0.479,0.532,3.1,3.5,0.888,1.1,4.0,5.1,3.4,1.0,0.7,2.7,2.8,20.3,
44.0,Bam Adebayo,28.0,MIA,C,67.0,67.0,32.3,6.9,15.8,0.438,1.7,5.4,0.31,5.2,10.4,0.506,0.492,4.6,5.9,0.782,2.1,8.0,10.0,3.0,1.1,0.7,1.7,1.7,20.1,
45.0,Jimmy Butler,36.0,GSW,SF,38.0,38.0,31.1,6.3,12.2,0.519,0.8,2.2,0.376,5.5,9.9,0.552,0.554,6.5,7.6,0.864,2.3,3.2,5.6,4.9,1.4,0.2,1.6,1.2,20.0,
46.0,Karl-Anthony Towns,30.0,NYK,C,70.0,70.0,30.9,6.8,13.8,0.495,1.5,4.2,0.366,5.3,9.6,0.551,0.551,4.8,5.6,0.858,3.1,8.8,11.9,2.8,0.9,0.5,2.5,3.5,20.0,AS
47.0,LaMelo Ball,24.0,CHO,PG,65.0,62.0,27.8,6.9,17.2,0.403,3.7,10.0,0.366,3.3,7.2,0.455,0.509,2.2,2.4,0.898,0.9,3.9,4.8,7.0,1.2,0.2,2.8,2.7,19.7,
48.0,Ty Jerome,28.0,MEM,SG,15.0,15.0,22.6,6.8,14.3,0.474,2.8,6.7,0.42,4.0,7.7,0.522,0.572,3.3,3.7,0.875,0.7,2.1,2.8,5.7,1.1,0.3,1.8,2.1,19.7,
49.0,Ja Morant,26.0,MEM,PG,20.0,20.0,28.5,6.6,16.1,0.41,1.0,4.3,0.235,5.6,11.9,0.473,0.441,5.3,5.9,0.897,0.4,2.9,3.3,8.1,1.0,0.3,3.6,2.0,19.5,
50.0,Jaren Jackson Jr.,26.0,2TM,C,48.0,48.0,30.3,7.1,15.0,0.476,1.8,4.9,0.357,5.4,10.1,0.533,0.534,3.4,4.2,0.803,0.9,4.8,5.7,2.0,1.1,1.4,2.2,3.7,19.4,
50.0,Jaren Jackson Jr.,26.0,MEM,C,45.0,45.0,30.7,7.1,14.9,0.475,1.8,4.9,0.359,5.3,10.0,0.531,0.534,3.3,4.2,0.797,0.9,4.8,5.8,1.9,1.0,1.5,2.2,3.8,19.2,
50.0,Jaren Jackson Jr.,26.0,UTA,C,3.0,3.0,24.0,8.0,16.3,0.49,1.7,5.0,0.333,6.3,11.3,0.559,0.541,4.7,5.3,0.875,0.3,4.0,4.3,2.7,2.0,0.3,2.3,3.0,22.3,
51.0,Jalen Duren,22.0,DET,C,64.0,64.0,28.0,7.4,11.5,0.642,0.0,0.0,,7.4,11.5,0.642,0.642,4.5,6.1,0.745,3.8,6.8,10.6,1.8,0.9,0.9,1.8,2.8,19.3,AS
52.0,Zach LaVine,30.0,SAC,SG,39.0,37.0,31.4,6.7,14.0,0.479,2.5,6.5,0.39,4.2,7.5,0.556,0.569,3.2,3.6,0.88,0.2,2.6,2.8,2.3,0.7,0.3,1.9,2.1,19.2,
53.0,Darius Garland,26.0,2TM,PG,39.0,37.0,29.7,6.9,14.7,0.471,2.8,6.8,0.417,4.1,7.9,0.518,0.568,2.4,2.8,0.861,0.4,1.9,2.4,6.9,0.9,0.1,3.0,1.6,19.1,
53.0,Darius Garland,26.0,CLE,PG,26.0,26.0,30.5,6.5,14.5,0.451,2.3,6.3,0.36,4.3,8.2,0.521,0.529,2.6,3.0,0.861,0.5,2.0,2.4,6.9,0.8,0.1,2.8,1.8,18.0,
53.0,Darius Garland,26.0,LAC,PG,13.0,11.0,28.2,7.7,15.1,0.51,4.0,7.8,0.51,3.7,7.2,0.511,0.643,1.9,2.2,0.862,0.4,1.8,2.2,7.0,1.1,0.2,3.3,1.2,21.3,
54.0,RJ Barrett,25.0,TOR,SF,50.0,50.0,30.0,7.0,14.1,0.495,1.7,5.0,0.339,5.3,9.1,0.581,0.555,3.3,4.7,0.708,0.9,4.3,5.3,3.3,0.8,0.3,1.7,2.6,19.0,
55.0,Kon Knueppel,20.0,CHO,SF,74.0,73.0,31.6,6.5,13.4,0.484,3.5,8.0,0.433,3.0,5.4,0.559,0.614,2.5,2.9,0.862,1.2,4.2,5.4,3.4,0.7,0.2,2.0,2.1,18.9,
56.0,Bennedict Mathurin,23.0,2TM,SF,47.0,25.0,31.0,5.8,13.2,0.436,1.5,4.7,0.323,4.2,8.5,0.5,0.494,5.7,6.6,0.868,1.0,4.6,5.6,2.3,0.8,0.3,2.2,2.7,18.8,
56.0,Bennedict Mathurin,23.0,IND,SF,28.0,24.0,31.8,5.5,12.8,0.433,2.1,5.6,0.372,3.5,7.2,0.48,0.514,4.6,5.2,0.884,0.8,4.6,5.4,2.3,0.6,0.1,2.3,2.7,17.8,
56.0,Bennedict Mathurin,23.0,LAC,SF,19.0,1.0,29.7,6.1,13.8,0.441,0.7,3.5,0.209,5.4,10.3,0.52,0.468,7.4,8.6,0.854,1.3,4.6,5.9,2.4,1.0,0.4,2.1,2.7,20.3,
57.0,CJ McCollum,34.0,2TM,PG,71.0,55.0,29.8,6.9,15.2,0.454,2.5,6.8,0.369,4.4,8.4,0.522,0.536,2.5,3.2,0.776,0.8,2.5,3.4,3.8,0.8,0.4,1.8,1.9,18.8,
57.0,CJ McCollum,34.0,WAS,SG,35.0,35.0,30.9,6.9,15.1,0.454,2.7,7.0,0.393,4.1,8.1,0.505,0.544,2.3,2.9,0.804,0.7,2.9,3.5,3.6,0.7,0.3,1.7,2.1,18.8,
57.0,CJ McCollum,34.0,ATL,PG,36.0,20.0,28.7,6.9,15.3,0.454,2.3,6.6,0.343,4.7,8.7,0.537,0.527,2.6,3.5,0.754,1.0,2.2,3.2,4.0,0.8,0.6,1.9,1.7,18.7,
58.0,Scottie Barnes,24.0,TOR,PF,72.0,72.0,33.9,7.3,14.4,0.507,0.9,2.9,0.305,6.4,11.5,0.559,0.538,3.1,3.8,0.83,2.0,5.8,7.7,5.8,1.4,1.5,2.6,2.8,18.6,AS
59.0,De'Aaron Fox,28.0,SAS,PG,65.0,65.0,31.0,7.0,14.5,0.487,1.8,5.4,0.336,5.2,9.0,0.578,0.55,2.7,3.5,0.76,0.6,3.1,3.7,6.2,1.2,0.3,2.3,2.2,18.6,AS
60.0,Jerami Grant,31.0,POR,PF,57.0,38.0,29.7,5.8,12.8,0.453,2.4,6.1,0.389,3.4,6.7,0.513,0.547,4.6,5.6,0.814,1.0,2.5,3.5,2.1,0.7,0.6,2.1,2.5,18.6,
61.0,DeMar DeRozan,36.0,SAC,PF,74.0,74.0,31.6,6.5,13.1,0.495,0.6,1.9,0.31,5.9,11.2,0.527,0.518,4.9,5.7,0.864,0.5,2.6,3.0,4.1,1.1,0.3,1.3,2.0,18.5,
62.0,Evan Mobley,24.0,CLE,PF,60.0,58.0,32.3,7.3,13.4,0.545,1.0,3.4,0.303,6.3,10.1,0.625,0.583,2.8,4.6,0.607,2.4,6.6,9.0,3.6,0.8,1.8,1.9,2.6,18.4,
63.0,Jalen Green,23.0,PHO,SG,27.0,22.0,26.0,6.9,16.5,0.419,2.4,7.6,0.324,4.5,9.0,0.5,0.493,2.0,2.7,0.743,0.5,3.3,3.8,2.9,1.1,0.1,2.1,1.2,18.3,
64.0,Trae Young,27.0,2TM,PG,15.0,15.0,25.6,5.4,11.8,0.458,1.8,5.3,0.338,3.6,6.5,0.557,0.534,5.3,6.5,0.825,0.3,1.7,2.0,8.0,0.9,0.1,2.6,2.2,17.9,
64.0,Trae Young,27.0,ATL,PG,10.0,10.0,28.0,5.6,13.5,0.415,1.8,5.9,0.305,3.8,7.6,0.5,0.481,6.3,7.3,0.863,0.0,1.5,1.5,8.9,1.0,0.1,2.6,2.0,19.3,
64.0,Trae Young,27.0,WAS,PG,5.0,5.0,20.8,5.0,8.4,0.595,1.8,4.2,0.429,3.2,4.2,0.762,0.702,3.4,4.8,0.708,0.8,2.2,3.0,6.2,0.6,0.2,2.6,2.6,15.2,
65.0,Amen Thompson,23.0,HOU,PG,72.0,72.0,37.3,6.9,13.1,0.523,0.3,1.5,0.227,6.5,11.6,0.562,0.536,3.8,4.9,0.777,3.0,4.8,7.9,5.2,1.5,0.6,2.4,2.2,17.9,
66.0,Coby White,25.0,2TM,SG,44.0,26.0,26.0,5.7,12.8,0.444,2.3,6.6,0.353,3.4,6.2,0.54,0.535,3.9,4.8,0.82,0.4,3.2,3.6,4.2,0.6,0.1,2.6,2.2,17.6,
66.0,Coby White,25.0,CHI,SG,29.0,26.0,29.1,5.9,13.6,0.438,2.5,7.2,0.346,3.4,6.4,0.541,0.529,4.3,5.3,0.805,0.2,3.5,3.7,4.7,0.7,0.1,3.0,2.4,18.6,
66.0,Coby White,25.0,CHO,SG,15.0,0.0,19.9,5.2,11.3,0.459,2.0,5.4,0.37,3.2,5.9,0.539,0.547,3.3,3.8,0.86,0.6,2.7,3.3,3.2,0.3,0.2,1.7,1.8,15.7,
67.0,Saddiq Bey,26.0,NOP,SF,69.0,61.0,31.1,6.0,13.2,0.452,2.1,5.7,0.366,3.9,7.6,0.516,0.531,3.4,4.0,0.845,1.7,3.9,5.6,2.6,0.9,0.1,1.0,1.3,17.4,
68.0,Kevin Porter Jr.,25.0,MIL,PG,38.0,36.0,33.2,6.3,13.5,0.465,1.2,3.8,0.322,5.1,9.8,0.52,0.51,3.6,4.1,0.878,0.9,4.3,5.2,7.4,2.2,0.5,2.9,2.3,17.4,
69.0,Kristaps Porziņģis,30.0,2TM,C,28.0,19.0,23.9,5.6,12.4,0.454,1.9,5.2,0.366,3.7,7.2,0.517,0.53,4.2,5.1,0.831,1.2,3.7,4.9,2.6,0.6,1.3,1.3,2.7,17.3,
69.0,Kristaps Porziņģis,30.0,ATL,C,17.0,12.0,24.3,5.6,12.4,0.457,1.8,5.1,0.36,3.8,7.3,0.524,0.531,4.0,4.8,0.84,1.2,3.9,5.1,2.7,0.5,1.3,0.9,3.2,17.1,
69.0,Kristaps Porziņģis,30.0,GSW,C,11.0,7.0,23.2,5.5,12.4,0.449,2.0,5.4,0.373,3.5,7.0,0.506,0.529,4.5,5.5,0.82,1.1,3.5,4.5,2.5,0.7,1.3,1.7,1.9,17.6,
70.0,Grayson Allen,30.0,PHO,SG,46.0,26.0,29.5,5.6,13.7,0.408,3.3,9.3,0.356,2.3,4.3,0.52,0.529,2.8,3.3,0.86,0.7,2.3,3.0,4.1,1.4,0.3,1.6,2.2,17.3,
71.0,Dejounte Murray,29.0,NOP,PG,13.0,13.0,27.8,6.5,13.2,0.488,1.5,4.6,0.317,5.0,8.6,0.58,0.544,2.9,3.4,0.864,0.2,4.9,5.2,6.5,1.6,0.2,3.2,2.5,17.3,
72.0,Jalen Williams,24.0,OKC,SG,30.0,30.0,28.5,6.7,13.8,0.482,0.7,2.4,0.301,5.9,11.4,0.52,0.508,3.3,4.0,0.824,0.8,3.7,4.5,5.3,1.2,0.3,1.9,2.0,17.3,
73.0,Josh Giddey,23.0,CHI,PG,53.0,50.0,32.2,6.0,13.3,0.451,1.9,5.3,0.369,4.1,8.0,0.505,0.524,3.3,4.3,0.77,1.2,7.1,8.4,9.2,1.0,0.5,3.6,1.7,17.2,
74.0,Miles Bridges,27.0,CHO,PF,70.0,70.0,31.4,6.2,13.7,0.451,1.9,5.9,0.324,4.3,7.8,0.547,0.521,2.8,3.3,0.829,0.9,4.9,5.8,3.2,0.6,0.4,1.4,1.7,17.1,
75.0,Chet Holmgren,23.0,OKC,PF,65.0,65.0,29.3,6.3,11.4,0.551,1.2,3.5,0.348,5.0,7.9,0.642,0.605,3.3,4.1,0.799,1.9,7.0,8.9,1.7,0.6,1.8,1.6,2.3,17.0,AS
76.0,Payton Pritchard,28.0,BOS,PG,73.0,50.0,32.5,6.4,13.9,0.459,2.6,7.2,0.37,3.7,6.8,0.553,0.554,1.6,1.8,0.886,0.8,3.2,4.0,5.2,0.7,0.1,1.4,1.5,17.0,
77.0,Ryan Rollins,23.0,MIL,PG,71.0,64.0,32.0,6.5,13.8,0.469,2.5,6.1,0.406,4.0,7.7,0.518,0.558,1.6,2.1,0.782,0.7,3.8,4.6,5.6,1.5,0.4,2.7,2.6,17.0,
78.0,Derrick White,31.0,BOS,SG,71.0,71.0,34.3,5.8,15.0,0.391,2.7,8.5,0.321,3.1,6.4,0.484,0.483,2.5,2.8,0.9,1.1,3.4,4.5,5.5,1.2,1.4,1.8,1.6,17.0,
79.0,Andrew Nembhard,26.0,IND,PG,57.0,57.0,31.3,5.8,13.2,0.442,1.9,5.2,0.361,4.0,8.0,0.495,0.513,3.4,4.1,0.825,0.4,2.4,2.8,7.7,0.9,0.1,2.4,2.2,16.9,
80.0,Immanuel Quickley,26.0,TOR,PG,67.0,67.0,32.4,5.9,13.2,0.445,2.6,6.9,0.374,3.3,6.3,0.523,0.543,2.5,3.1,0.821,0.5,3.5,4.1,6.0,1.3,0.1,1.5,2.0,16.9,
81.0,Paul George,35.0,PHI,PF,30.0,30.0,30.7,5.9,13.8,0.429,2.7,6.9,0.385,3.2,6.8,0.473,0.525,2.3,2.7,0.854,0.6,4.8,5.4,3.6,1.6,0.5,1.6,2.3,16.8,
82.0,OG Anunoby,28.0,NYK,PF,61.0,61.0,33.2,5.9,12.0,0.486,2.2,5.9,0.38,3.6,6.1,0.588,0.579,2.7,3.3,0.818,1.3,3.8,5.1,2.2,1.6,0.7,1.9,2.5,16.7,
83.0,Stephon Castle,21.0,SAS,PG,63.0,62.0,29.7,5.6,12.0,0.471,1.2,3.6,0.323,4.5,8.4,0.535,0.52,4.2,5.8,0.731,1.4,3.8,5.2,7.2,1.2,0.3,3.2,3.2,16.7,
84.0,Aaron Gordon,30.0,DEN,PF,32.0,29.0,27.6,5.6,11.2,0.501,1.7,4.3,0.399,3.9,6.9,0.566,0.578,3.7,4.8,0.765,1.5,4.5,5.9,2.5,0.6,0.3,1.1,1.6,16.6,
85.0,Matas Buzelis,21.0,CHI,PF,74.0,74.0,29.3,5.8,12.5,0.465,2.3,6.4,0.357,3.5,6.1,0.58,0.557,2.4,3.1,0.789,1.0,4.7,5.7,2.0,0.7,1.5,2.0,2.3,16.4,
86.0,Alex Sarr,20.0,WAS,C,48.0,48.0,27.2,6.6,13.7,0.482,1.0,3.1,0.333,5.5,10.5,0.526,0.52,2.1,3.0,0.692,2.2,5.2,7.4,2.7,0.8,2.0,1.7,2.2,16.3,
87.0,VJ Edgecombe,20.0,PHI,SG,68.0,68.0,34.8,6.0,13.7,0.436,2.0,5.7,0.36,3.9,8.0,0.49,0.511,2.0,2.5,0.827,1.6,4.0,5.6,4.0,1.4,0.5,1.8,2.9,16.0,
88.0,Jrue Holiday,35.0,POR,PG,47.0,45.0,28.9,5.9,12.9,0.457,2.4,6.4,0.381,3.4,6.5,0.533,0.552,1.6,1.9,0.824,1.3,3.1,4.4,6.1,1.1,0.1,2.7,1.4,15.8,
89.0,Domantas Sabonis,29.0,SAC,C,19.0,15.0,29.7,6.3,11.6,0.543,0.3,1.4,0.185,6.1,10.2,0.593,0.554,2.9,4.1,0.727,3.4,8.0,11.4,4.1,0.9,0.2,2.7,3.5,15.8,
90.0,Nikola Vučević,35.0,2TM,C,60.0,49.0,29.0,6.4,12.8,0.496,1.6,4.3,0.373,4.8,8.6,0.557,0.558,1.3,1.5,0.835,2.0,6.6,8.6,3.4,0.6,0.7,1.3,2.0,15.6,
90.0,Nikola Vučević,35.0,CHI,C,48.0,48.0,30.8,6.9,13.8,0.505,1.7,4.5,0.376,5.2,9.2,0.568,0.567,1.3,1.5,0.838,2.1,6.9,9.0,3.8,0.7,0.6,1.4,2.0,16.9,
90.0,Nikola Vučević,35.0,BOS,C,12.0,1.0,21.7,4.1,9.2,0.445,1.1,3.1,0.351,3.0,6.1,0.493,0.505,1.2,1.4,0.824,1.7,5.5,7.2,1.8,0.4,0.8,0.9,1.8,10.4,
91.0,Jabari Smith Jr.,22.0,HOU,PF,70.0,70.0,35.2,5.6,12.5,0.451,2.2,6.2,0.358,3.4,6.3,0.542,0.539,2.1,2.7,0.774,1.5,5.4,6.9,1.9,0.8,0.9,1.4,2.5,15.6,
92.0,Andrew Wiggins,30.0,MIA,SF,62.0,62.0,30.7,5.9,12.4,0.475,2.0,4.9,0.407,3.9,7.5,0.519,0.555,1.8,2.3,0.785,1.7,3.3,5.0,2.7,1.2,1.0,1.5,2.3,15.6,
